account_scope,period_years,horizon_days,ticker,name,asset_type,account,currency,quantity,current_local_price,current_fx,fx_method,cost_fx_method,current_value,invested_cost,current_pnl,future_value_p10,future_value_p50,future_value_mean,future_value_p90,expected_pnl,contribution_to_change,hold_assumption,forecast_status,forecast_available,valuation_method,warning
전체,10,60,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,15,10,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,38772761.931995675,46123696.04636881,46397881.95742561,54437354.25555502,27448682.046368808,2623696.0463688076,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,10,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,16077498.093116155,18727698.164802864,18910429.650986485,22010957.445397843,7914266.164802864,-82301.8351971358,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,10,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,98115890.99748743,120496879.1783539,125094925.84525979,157547021.8100441,78558581.6183539,5136709.679453135,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,10,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,27538232.5600293,29904827.459424023,30285686.34739508,30889958.772156022,3901384.2594240233,-188429.21345328912,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,10,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,15,30,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,37716424.0277438,58171256.27787463,61054887.46237596,87379025.20657018,39496242.27787463,14671256.277874634,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,30,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,14532544.60225924,18397247.78324559,18684991.684283994,23125776.36973232,7583815.78324559,-412752.2167544104,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,30,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,161511894.70442328,229462283.35806322,242368646.48516813,340679128.4232375,187523985.79806322,114102113.85916245,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,30,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,15224223.04139772,29498098.26979369,30427145.33387151,31951937.412850086,3494655.06979369,-595158.4030836225,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,30,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
전체,15,60,000660.KS,SK하이닉스,stock,통합,KRW,29.0,1500000.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),43500000.0,18675014.0,24824986.0,47643563.417063996,65041042.02753799,67281493.48318247,90036535.73452216,46366028.02753799,21541042.027537987,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,60,005930.KS,삼성전자,stock,통합,KRW,76.0,247500.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),18810000.0,10813432.0,7996568.0,16492641.462203166,18709286.92440069,18842298.9407313,21360477.44053429,7895854.924400691,-100713.07559930906,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,60,SNDK,SanDisk,stock,통합,USD,51.0,1625.780029296875,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,115360169.49890077,41938297.559999995,73421871.93890077,275238327.1657422,326488553.0077163,329518718.28321034,388913294.1520857,284550255.4477163,211128383.50881553,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,60,RAM,RAM,stock,통합,USD,1792.0,12.069999694824219,1391.31005859375,시장 환율,avg_fx_rate 사용자 입력,30093256.67287731,26003443.2,4089813.4728773125,7758472.297041808,28805043.50275807,27972584.913609084,36658384.33721199,2801600.3027580716,-1288213.1701192409,현재 수량 그대로 보유,forecasted,True,latest_market_price,
전체,15,60,KRW,원화예수금,cash,통합,KRW,855162.0,1.0,1.0,기준통화,현재 환율 근사(취득 환율 미입력),855162.0,855162.0,0.0,855162.0,855162.0,855162.0,855162.0,0.0,0.0,현재 수량 그대로 보유,cash_held_constant,False,cash_nominal_value,
